"(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE",DB08039,,4471568,5312137,LOGJQOUIVKBFGH-YBEGLDIGSA-N,,,0,,,
3-[4-(1-formylpiperazin-4-yl)-benzylidenyl]-2-indolinone,DB02058,,1571,1633,AZGZGRJOCKSSHA-UHFFFAOYSA-N,,,0,,,
7-Hydroxystaurosporine,DB01933,,65225,72271,PBCZSGKMGDDXIJ-HQCWYSJUSA-N,,,0,,,
Abemaciclib,DB12001,"Abemaciclib is an antitumor agent and dual inhibitor of cyclin-dependent kinases 4 (CDK4) and 6 (CDK6) that are involved in the cell cycle and promotion of cancer cell growth in case of unregulated activity. On September 28, 2017, FDA granted approval of abemaciclib treatment under the market name Verzenio for the treatment of HR-positive and HER2-negative advanced or metastatic breast cancer that has progressed after unsuccessful endocrine therapy. It is either given alone in patients who has undergone endocrine therapy and chemotherapy after the metastasis of cancer, or in combination with [DB00947]. Following oral treatment in patients with HR-positive, HER2-negative breast cancer, abemaciclib demonstrated increased progression-free survival rates and objective response rates. Abemaciclib has been used in trials studying the treatment of melanoma, lymphoma, neoplasm, solid tumor, and glioblastoma.",29340700,46220502,UZWDCWONPYILKI-UHFFFAOYSA-N,CCN1CCN(CC1)Cc2ccc(nc2)Nc3ncc(c(n3)c4cc5c(c(c4)F)nc(n5C(C)C)C)F,Eli Lilly,1,L01XE50,,
Abivertinib,DB15327,Abivertinib is under investigation in clinical trial NCT03300115 (Clinical Trial of the Efficacy and Safety of AC0010 in the Treatment of EGFR T790M Patients With Advanded NSCLC).,57490375,,UOFYSRZSLXWIQB-UHFFFAOYSA-N,CN1CCN(CC1)c2ccc(cc2F)Nc3nc4c(cc[nH]4)c(n3)Oc5cccc(c5)NC(=O)C=C,ACEA Biosciences,0,,,
Acalabrutinib,DB11703,"To date, acalabrutinib has been used in trials studying the treatment of B-All, Myelofibrosis, Ovarian Cancer, Multiple Myeloma, and Hodgkin Lymphoma, among others.

As of October 31, 2017 the FDA approved Astra Zeneca's orally administered Calquence (acalabrutinib). This Bruton Tyrosine Kinase (BTK) inhibitor indicated for the treatment of chronic lymphocytic leukemia, small lymphocytic lymphoma, and in adult patients with Mantle Cell Lymphoma (MCL) who have already received at least one prior therapy.

Also known as ACP-196, acalabrutinib is also considered a second generation BTK inhibitor because it was rationally designed to be more potent and selective than ibrutinib, theoretically expected to demonstrate fewer adverse effects owing to minimized bystander effects on targets other than BTK.

Nevertheless, acalabrutinib was approved under the FDA's accelerated approval pathway, which is based upon overall response rate and faciliates earlier approval of medicines that treat serious conditions or/and that fill an unmet medical need based on a surrogate endpoint. Continued approval for acalabrutinib's currently accepted indication may subsequently be contingent upon ongoing verification and description of clinical benefit in confimatory trials.

Furthermore, the FDA granted this medication Priority Review and Breakthrough Therapy designations. It also received Orphan Drug designation, which provides incentives to assist and encourage the development of drugs for rare diseases. At this time, more than 35 clinical trials across 40 countries with more than 2500 patients are underway or have been completed with regards to further research into better understanding and expanding the therapeutic uses of acalabrutinib [L1009].",36764951,71226662,WDENQIQQYWYTPO-IBGZPJMESA-N,CC#CC(=O)N1CCC[C@H]1c2nc(c3n2ccnc3N)c4ccc(cc4)C(=O)Nc5ccccn5,Astrazeneca,1,,,
Acalisib,DB15407,Acalisib is under investigation in clinical trial NCT01705847 (A Phase 1b Study Evaluating GS-9820 in Subjects With Lymphoid Malignancies).,9793017,,DOCINCLJNAXZQF-LBPRGKRZSA-N,C[C@@H](c1nc2ccc(cc2c(=O)n1c3ccccc3)F)Nc4c5c(nc[nH]5)ncn4,Gilead Sciences,0,,,
Acumapimod,DB15448,Acumapimod is under investigation in clinical trial NCT02926326 (The Effect of Azithromycin on BCT197 Exposure in Healthy Male Volunteers).,9513071,,VGUSQKZDZHAAEE-UHFFFAOYSA-N,Cc1ccc(cc1n2c(c(cn2)C(=O)c3cccc(c3)C#N)N)C(=O)NC4CC4,Mereo BioPharma,0,,,
Afatinib,DB08916,"Afatinib is a 4-anilinoquinazoline tyrosine kinase inhibitor in the form of a dimaleate salt available as Boehringer Ingelheim's brand name Gilotrif [FDA Label]. For oral use, afatinib tablets are a first-line (initial) treatment for patients with metastatic non-small cell lung cancer (NSCLC) with common epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test [L2939]. Gilotrif (afatinib) is the first FDA-approved oncology product from Boehringer Ingelheim [L2939].",8360155,10184653,ULXXDDBFHOBEHA-CWDCEQMOSA-N,CN(C)C/C=C/C(=O)Nc1cc2c(cc1O[C@H]3CCOC3)ncnc2Nc4ccc(c(c4)Cl)F,Boehringer Ingelheim,1,L01XE13,,
Afuresertib,DB11648,"Afuresertib has been used in trials studying the treatment of Cancer and Neoplasms, Haematologic.",28651809,46843057,AFJRDFWMXUECEW-LBPRGKRZSA-N,Cn1c(c(cn1)Cl)c2cc(sc2Cl)C(=O)N[C@@H](Cc3cccc(c3)F)CN,GlaxoSmithKline,0,,,
Alectinib,DB11363,"Alectinib is a second generation oral drug that selectively inhibits the activity of anaplastic lymphoma kinase (ALK) tyrosine kinase. It is specifically used in the treatment of non-small cell lung cancer (NSCLC) expressing the ALK-EML4 (echinoderm microtubule-associated protein-like 4) fusion protein that causes proliferation of NSCLC cells. Inhibition of ALK prevents phosphorylation and subsequent downstream activation of STAT3 and AKT resulting in reduced tumour cell viability. 

Approved under accelerated approval in 2015, alectinib is indicated for use in patients who have progressed on or were not tolerant of crizotinib, which is associated with the development of resistance.",26326738,49806720,KDGFLJKFZUIJMX-UHFFFAOYSA-N,CCc1cc2c(cc1N3CCC(CC3)N4CCOCC4)C(c5c(c6ccc(cc6[nH]5)C#N)C2=O)(C)C,Hoffmann-La Roche,1,L01XE36,,
Alisertib,DB05220,Alisertib is a novel aurora A kinase inhibitor under investigation for the treatment of various forms of cancer.,24700147,24771867,ZLHFILGSQDJULK-UHFFFAOYSA-N,COc1cccc(c1C2=NCc3cnc(nc3-c4c2cc(cc4)Cl)Nc5ccc(c(c5)OC)C(=O)O)F,Millennium Pharmaceuticals,0,,,
Alpelisib,DB12015,"Alpelisib is a phosphatidylinositol 3-kinase (PI3K) inhibitor with potent antitumor activity. It works by selectively inhibiting class I PI3K p110α [A179203], which is the catalytic subunit of PI3K, a lipid kinase that plays a role in various biological processes, including proliferation, survival, differentiation, and metabolism. Alpelisib was designed to target this enzyme that appears to be mutated at a rate of nearly 30% in human cancers, leading to hyperactivation.[A179209] 

There are several isoform-specific PI3K inhibitors that are under clinical development or currently approved, such as [idelalisib] used for chronic lymphocytic leukemia (CLL).[A179209] Approved by the FDA in May 2019, alpelisib is the first approved PI3K inhibitor indicated for the treatment of hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, PIK3CA-mutated, advanced or metastatic breast cancer in combination with [fulvestrant] for postmenopausal women and male patients. To initiate alpelisib therapy, it is required that the presence of a PIK3CA mutation in the tissue and/or liquid biopsy sample collection should be confirmed via FDA-approved diagnostic tests. Alpelisib is marketed under the trade name Piqray and is available as oral tablets. Studies evaluating the therapeutic effectiveness of alpelisib in other cancers, such as ovarian cancer [A179200] and colorectal cancer [A179203], are under ongoing investigations.

Alpelisib was granted FDA approval on 24 May 2019.[L6652]",28424123,56649450,STUWGJZDJHPWGZ-LBPRGKRZSA-N,Cc1c(sc(n1)NC(=O)N2CCC[C@H]2C(=O)N)c3ccnc(c3)C(C)(C)C(F)(F)F,Novartis,1,,,
